# Mode: w_phi
# Eigenvalue: -1.680428644990607
# Normalization: 1.0000000000000002
# Nodes: 0
# Normalizable: True
chi_GeV_inv,profile,profile_squared
-2.2386000000e+00,8.0716595883e-02,6.5151688509e-03
-2.2279400000e+00,8.1840401370e-02,6.6978512964e-03
-2.2172800000e+00,8.2979829555e-02,6.8856521130e-03
-2.2066200000e+00,8.4135097483e-02,7.0787146285e-03
-2.1959600000e+00,8.5306425171e-02,7.2771861754e-03
-2.1853000000e+00,8.6494035644e-02,7.4812182019e-03
-2.1746400000e+00,8.7698154975e-02,7.6909663861e-03
-2.1639800000e+00,8.8919012324e-02,7.9065907526e-03
-2.1533200000e+00,9.0156839968e-02,8.1282557930e-03
-2.1426600000e+00,9.1411873347e-02,8.3561305889e-03
-2.1320000000e+00,9.2684351099e-02,8.5903889387e-03
-2.1213400000e+00,9.3974515095e-02,8.8312094874e-03
-2.1106800000e+00,9.5282610480e-02,9.0787758598e-03
-2.1000200000e+00,9.6608885708e-02,9.3332767977e-03
-2.0893600000e+00,9.7953592582e-02,9.5949062997e-03
-2.0787000000e+00,9.9316986290e-02,9.8638637657e-03
-2.0680400000e+00,1.0069932544e-01,1.0140354144e-02
-2.0573800000e+00,1.0210087211e-01,1.0424588085e-02
-2.0467200000e+00,1.0352189185e-01,1.0716782091e-02
-2.0360600000e+00,1.0496265376e-01,1.1017158684e-02
-2.0254000000e+00,1.0642343050e-01,1.1325946559e-02
-2.0147400000e+00,1.0790449834e-01,1.1643380761e-02
-2.0040800000e+00,1.0940613717e-01,1.1969702850e-02
-1.9934200000e+00,1.1092863056e-01,1.2305161079e-02
-1.9827600000e+00,1.1247226579e-01,1.2650010572e-02
-1.9721000000e+00,1.1403733385e-01,1.3004513512e-02
-1.9614400000e+00,1.1562412952e-01,1.3368939326e-02
-1.9507800000e+00,1.1723295134e-01,1.3743564881e-02
-1.9401200000e+00,1.1886410172e-01,1.4128674678e-02
-1.9294600000e+00,1.2051788688e-01,1.4524561057e-02
-1.9188000000e+00,1.2219461692e-01,1.4931524403e-02
-1.9081400000e+00,1.2389460585e-01,1.5349873358e-02
-1.8974800000e+00,1.2561817159e-01,1.5779925033e-02
-1.8868200000e+00,1.2736563600e-01,1.6222005235e-02
-1.8761600000e+00,1.2913732491e-01,1.6676448685e-02
-1.8655000000e+00,1.3093356810e-01,1.7143599254e-02
-1.8548400000e+00,1.3275469933e-01,1.7623810195e-02
-1.8441800000e+00,1.3460105639e-01,1.8117444380e-02
-1.8335200000e+00,1.3647298102e-01,1.8624874550e-02
-1.8228600000e+00,1.3837081901e-01,1.9146483555e-02
-1.8122000000e+00,1.4029492013e-01,1.9682664614e-02
-1.8015400000e+00,1.4224563814e-01,2.0233821570e-02
-1.7908800000e+00,1.4422333081e-01,2.0800369151e-02
-1.7802200000e+00,1.4622835989e-01,2.1382733236e-02
-1.7695600000e+00,1.4826109108e-01,2.1981351127e-02
-1.7589000000e+00,1.5032189402e-01,2.2596671822e-02
-1.7482400000e+00,1.5241114228e-01,2.3229156292e-02
-1.7375800000e+00,1.5452921331e-01,2.3879277766e-02
