# Mode: w_R
# Eigenvalue: 352.08868667912196
# Normalization: 1.0000000000000002
# Nodes: 0
# Normalizable: True
chi_GeV_inv,profile,profile_squared
-9.2742000000e-01,4.1661312107e-01,1.7356649265e-01
-9.1676000000e-01,4.1697805305e-01,1.7387069673e-01
-9.0610000000e-01,4.1733889482e-01,1.7417175313e-01
-8.9544000000e-01,4.1769564285e-01,1.7446965006e-01
-8.8478000000e-01,4.1804829363e-01,1.7476437581e-01
-8.7412000000e-01,4.1839684371e-01,1.7505591883e-01
-8.6346000000e-01,4.1874128966e-01,1.7534426767e-01
-8.5280000000e-01,4.1908162811e-01,1.7562941102e-01
-8.4214000000e-01,4.1941785573e-01,1.7591133770e-01
-8.3148000000e-01,4.1974996920e-01,1.7619003664e-01
-8.2082000000e-01,4.2007796528e-01,1.7646549691e-01
-8.1016000000e-01,4.2040184074e-01,1.7673770770e-01
-7.9950000000e-01,4.2072159241e-01,1.7700665832e-01
-7.8884000000e-01,4.2103721716e-01,1.7727233823e-01
-7.7818000000e-01,4.2134871188e-01,1.7753473700e-01
-7.6752000000e-01,4.2165607352e-01,1.7779384434e-01
-7.5686000000e-01,4.2195929908e-01,1.7804965008e-01
-7.4620000000e-01,4.2225838556e-01,1.7830214417e-01
-7.3554000000e-01,4.2255333004e-01,1.7855131673e-01
-7.2488000000e-01,4.2284412962e-01,1.7879715796e-01
-7.1422000000e-01,4.2313078146e-01,1.7903965822e-01
-7.0356000000e-01,4.2341328274e-01,1.7927880800e-01
-6.9290000000e-01,4.2369163069e-01,1.7951459792e-01
-6.8224000000e-01,4.2396582258e-01,1.7974701871e-01
-6.7158000000e-01,4.2423585572e-01,1.7997606127e-01
-6.6092000000e-01,4.2450172745e-01,1.8020171661e-01
-6.5026000000e-01,4.2476343519e-01,1.8042397587e-01
-6.3960000000e-01,4.2502097634e-01,1.8064283033e-01
