# Mode: w_L
# Eigenvalue: 0.0001782606126567822
# Normalization: 0.9999999999999998
# Nodes: 0
# Normalizable: True
chi_GeV_inv,profile,profile_squared
-2.6756600000e+00,5.6133825883e-01,3.1510064082e-01
-2.6650000000e+00,5.7341930064e-01,3.2880969435e-01
-2.6543400000e+00,5.8565769952e-01,3.4299494101e-01
-2.6436800000e+00,5.9804795749e-01,3.5766135946e-01
-2.6330200000e+00,6.1058393682e-01,3.7281274390e-01
-2.6223600000e+00,6.2325882999e-01,3.8845156916e-01
-2.6117000000e+00,6.3606513013e-01,4.0457884976e-01
-2.6010400000e+00,6.4899460216e-01,4.2119399364e-01
-2.5903800000e+00,6.6203825504e-01,4.3829465114e-01
-2.5797200000e+00,6.7518631526e-01,4.5587656031e-01
-2.5690600000e+00,6.8842820208e-01,4.7393338942e-01
-2.5584000000e+00,7.0175250487e-01,4.9245657809e-01
-2.5477400000e+00,7.1514696281e-01,5.1143517841e-01
-2.5370800000e+00,7.2859844756e-01,5.3085569778e-01
-2.5264200000e+00,7.4209294921e-01,5.5070194527e-01
-2.5157600000e+00,7.5561556606e-01,5.7095488367e-01
-2.5051000000e+00,7.6915049858e-01,5.9159248947e-01
-2.4944400000e+00,7.8268104824e-01,6.1258962327e-01
-2.4837800000e+00,7.9618962145e-01,6.3391791331e-01
-2.4731200000e+00,8.0965773936e-01,6.5554565491e-01
-2.4624600000e+00,8.2306605376e-01,6.7743772886e-01
-2.4518000000e+00,8.3639436973e-01,6.9955554172e-01
-2.4411400000e+00,8.4962167532e-01,7.2185699118e-01
-2.4304800000e+00,8.6272617883e-01,7.4429645964e-01
-2.4198200000e+00,8.7568535383e-01,7.6682483891e-01
-2.4091600000e+00,8.8847599241e-01,7.8938958909e-01
-2.3985000000e+00,9.0107426676e-01,8.1193483421e-01
-2.3878400000e+00,9.1345579921e-01,8.3440149711e-01
-2.3771800000e+00,9.2559574090e-01,8.5672747558e-01
-2.3665200000e+00,9.3746885888e-01,8.7884786137e-01
-2.3558600000e+00,9.4904963150e-01,9.0069520306e-01
-2.3452000000e+00,9.6031235193e-01,9.2219981326e-01
-2.3345400000e+00,9.7123123912e-01,9.4329011984e-01
-2.3238800000e+00,9.8178055597e-01,9.6389306008e-01
-2.3132200000e+00,9.9193473372e-01,9.8393451597e-01
-2.3025600000e+00,1.0016685019e+00,1.0033397877e+00
-2.2919000000e+00,1.0109570229e+00,1.0220341021e+00
-2.2812400000e+00,1.0197760296e+00,1.0399431506e+00
-2.2705800000e+00,1.0281019662e+00,1.0569936528e+00
-2.2599200000e+00,1.0359121284e+00,1.0731139378e+00
-2.2492600000e+00,1.0431848049e+00,1.0882345372e+00
-2.2386000000e+00,1.0498994154e+00,1.1022887824e+00
-2.2279400000e+00,1.0560366458e+00,1.1152133972e+00
-2.2172800000e+00,1.0615785783e+00,1.1269490780e+00
-2.2066200000e+00,1.0665088150e+00,1.1374410525e+00
-2.1959600000e+00,1.0708125926e+00,1.1466396084e+00
-2.1853000000e+00,1.0744768884e+00,1.1545005837e+00
-2.1746400000e+00,1.0774905149e+00,1.1609858097e+00
-2.1639800000e+00,1.0798442021e+00,1.1660635007e+00
-2.1533200000e+00,1.0815306664e+00,1.1697085824e+00
-2.1426600000e+00,1.0825446658e+00,1.1719029534e+00
-2.1320000000e+00,1.0828830387e+00,1.1726356756e+00
-2.1213400000e+00,1.0825447288e+00,1.1719030899e+00
-2.1106800000e+00,1.0815307925e+00,1.1697088551e+00
-2.1000200000e+00,1.0798443911e+00,1.1660639089e+00
-2.0893600000e+00,1.0774907667e+00,1.1609863523e+00
-2.0787000000e+00,1.0744772029e+00,1.1545012595e+00
-2.0680400000e+00,1.0708129695e+00,1.1466404157e+00
-2.0573800000e+00,1.0665092542e+00,1.1374419893e+00
-2.0467200000e+00,1.0615790795e+00,1.1269501421e+00
-2.0360600000e+00,1.0560372087e+00,1.1152145861e+00
-2.0254000000e+00,1.0499000397e+00,1.1022900933e+00
-2.0147400000e+00,1.0431854902e+00,1.0882359671e+00
-2.0040800000e+00,1.0359128744e+00,1.0731154834e+00
-1.9934200000e+00,1.0281027724e+00,1.0569953107e+00
-1.9827600000e+00,1.0197768958e+00,1.0399449172e+00
-1.9721000000e+00,1.0109579485e+00,1.0220359736e+00
-1.9614400000e+00,1.0016694866e+00,1.0033417603e+00
-1.9507800000e+00,9.9193577697e-01,9.8393658564e-01
-1.9401200000e+00,9.8178165737e-01,9.6389522276e-01
-1.9294600000e+00,9.7123239823e-01,9.4329237138e-01
-1.9188000000e+00,9.6031356831e-01,9.2220214948e-01
-1.9081400000e+00,9.4905090472e-01,9.0069761976e-01
-1.8974800000e+00,9.3747018851e-01,8.7885035434e-01
-1.8868200000e+00,9.2559712652e-01,8.5673004062e-01
-1.8761600000e+00,9.1345724042e-01,8.3440413007e-01
-1.8655000000e+00,9.0107576318e-01,8.1193753099e-01
-1.8548400000e+00,8.8847754369e-01,7.8939234563e-01
-1.8441800000e+00,8.7568695962e-01,7.6682765125e-01
-1.8335200000e+00,8.6272783883e-01,7.4429932389e-01
-1.8228600000e+00,8.4962338925e-01,7.2185990356e-01
-1.8122000000e+00,8.3639613734e-01,6.9955849855e-01
-1.8015400000e+00,8.2306787484e-01,6.7744072659e-01
-1.7908800000e+00,8.0965961372e-01,6.5554869009e-01
-1.7802200000e+00,7.9619154896e-01,6.3392098264e-01
-1.7695600000e+00,7.8268302880e-01,6.1259272358e-01
-1.7589000000e+00,7.6915253214e-01,5.9159561770e-01
-1.7482400000e+00,7.5561765261e-01,5.7095803693e-01
-1.7375800000e+00,7.4209508878e-01,5.5070512079e-01
-1.7269200000e+00,7.2860064022e-01,5.3085889293e-01
-1.7162600000e+00,7.1514920871e-01,5.1143839071e-01
-1.7056000000e+00,7.0175480418e-01,4.9245980519e-01
-1.6949400000e+00,6.8843055503e-01,4.7393662910e-01
-1.6842800000e+00,6.7518872213e-01,4.5587981049e-01
-1.6736200000e+00,6.6204071617e-01,4.3829790986e-01
-1.6629600000e+00,6.4899711793e-01,4.2119725908e-01
-1.6523000000e+00,6.3606770098e-01,4.0458212023e-01
-1.6416400000e+00,6.2326145642e-01,3.8845484306e-01
-1.6309800000e+00,6.1058661939e-01,3.7281601978e-01
-1.6203200000e+00,5.9805069681e-01,3.5766463595e-01
-1.6096600000e+00,5.8566049626e-01,3.4299821688e-01
-1.5990000000e+00,5.7342215552e-01,3.2881296844e-01
-1.5883400000e+00,5.6134117263e-01,3.1510391209e-01
-1.5776800000e+00,5.4942243616e-01,3.0186501336e-01
-1.5670200000e+00,5.3767025551e-01,2.8908930366e-01
-1.5563600000e+00,5.2608839105e-01,2.7676899520e-01
-1.5457000000e+00,5.1468008392e-01,2.6489558879e-01
-1.5350400000e+00,5.0344808541e-01,2.5345997471e-01
-1.5243800000e+00,4.9239468569e-01,2.4245252649e-01
-1.5137200000e+00,4.8152174184e-01,2.3186318786e-01
-1.5030600000e+00,4.7083070519e-01,2.2168155295e-01
-1.4924000000e+00,4.6032264772e-01,2.1189694001e-01
-1.4817400000e+00,4.4999828760e-01,2.0249845884e-01
-1.4710800000e+00,4.3985801374e-01,1.9347507226e-01
-1.4604200000e+00,4.2990190946e-01,1.8481565176e-01
-1.4497600000e+00,4.2012977502e-01,1.7650902786e-01
-1.4391000000e+00,4.1054114929e-01,1.6854403526e-01
-1.4284400000e+00,4.0113533033e-01,1.6090955324e-01
-1.4177800000e+00,3.9191139494e-01,1.5359454148e-01
-1.4071200000e+00,3.8286821728e-01,1.4658807180e-01
-1.3964600000e+00,3.7400448649e-01,1.3987935591e-01
-1.3858000000e+00,3.6531872332e-01,1.3345776961e-01
-1.3751400000e+00,3.5680929587e-01,1.2731287362e-01
-1.3644800000e+00,3.4847443435e-01,1.2143443140e-01
-1.3538200000e+00,3.4031224505e-01,1.1581242413e-01
-1.3431600000e+00,3.3232072337e-01,1.1043706318e-01
-1.3325000000e+00,3.2449776611e-01,1.0529880021e-01
-1.3218400000e+00,3.1684118290e-01,1.0038833518e-01
-1.3111800000e+00,3.0934870691e-01,9.5696622470e-02
-1.3005200000e+00,3.0201800488e-01,9.1214875270e-02
-1.2898600000e+00,2.9484668635e-01,8.6934568452e-02
-1.2792000000e+00,2.8783231239e-01,8.2847440057e-02
-1.2685400000e+00,2.8097240357e-01,7.8945491570e-02
-1.2578800000e+00,2.7426444744e-01,7.5220987127e-02
-1.2472200000e+00,2.6770590536e-01,7.1666451763e-02
-1.2365600000e+00,2.6129421893e-01,6.8274668845e-02
-1.2259000000e+00,2.5502681580e-01,6.5038676775e-02
-1.2152400000e+00,2.4890111507e-01,6.1951765085e-02
-1.2045800000e+00,2.4291453229e-01,5.9007469996e-02
-1.1939200000e+00,2.3706448392e-01,5.6199569534e-02
-1.1832600000e+00,2.3134839155e-01,5.3522078274e-02
-1.1726000000e+00,2.2576368569e-01,5.0969241776e-02
-1.1619400000e+00,2.2030780917e-01,4.8535530780e-02
-1.1512800000e+00,2.1497822031e-01,4.6215635208e-02
-1.1406200000e+00,2.0977239576e-01,4.4004458024e-02
-1.1299600000e+00,2.0468783304e-01,4.1897108996e-02
-1.1193000000e+00,1.9972205285e-01,3.9888898396e-02
-1.1086400000e+00,1.9487260113e-01,3.7975330670e-02
-1.0979800000e+00,1.9013705088e-01,3.6152098116e-02
-1.0873200000e+00,1.8551300382e-01,3.4415074587e-02
-1.0766600000e+00,1.8099809182e-01,3.2760309243e-02
-1.0660000000e+00,1.7658997814e-01,3.1184020381e-02
-1.0553400000e+00,1.7228635855e-01,2.9682589342e-02
-1.0446800000e+00,1.6808496224e-01,2.8252554532e-02
-1.0340200000e+00,1.6398355267e-01,2.6890605547e-02
-1.0233600000e+00,1.5997992819e-01,2.5593577425e-02
-1.0127000000e+00,1.5607192264e-01,2.4358445036e-02
-1.0020400000e+00,1.5225740574e-01,2.3182317604e-02
-9.9138000000e-01,1.4853428350e-01,2.2062433376e-02
-9.8072000000e-01,1.4490049841e-01,2.0996154439e-02
-9.7006000000e-01,1.4135402962e-01,1.9980961688e-02
-9.5940000000e-01,1.3789289304e-01,1.9014449951e-02
-9.4874000000e-01,1.3451514137e-01,1.8094323258e-02
-9.3808000000e-01,1.3121886401e-01,1.7218390273e-02
-9.2742000000e-01,1.2800218699e-01,1.6384559875e-02
-9.1676000000e-01,1.2486327279e-01,1.5590836893e-02
-9.0610000000e-01,1.2180032016e-01,1.4835317990e-02
-8.9544000000e-01,1.1881156382e-01,1.4116187697e-02
-8.8478000000e-01,1.1589527424e-01,1.3431714591e-02
-8.7412000000e-01,1.1304975725e-01,1.2780247614e-02
-8.6346000000e-01,1.1027335374e-01,1.2160212544e-02
-8.5280000000e-01,1.0756443923e-01,1.1570108587e-02
-8.4214000000e-01,1.0492142350e-01,1.1008505109e-02
-8.3148000000e-01,1.0234275014e-01,1.0474038507e-02
-8.2082000000e-01,9.9826896122e-02,9.9654091894e-03
-8.1016000000e-01,9.7372371306e-02,9.4813786938e-03
-7.9950000000e-01,9.4977717993e-02,9.0207669152e-03
-7.8884000000e-01,9.2641510421e-02,8.5824494531e-03
-7.7818000000e-01,9.0362354266e-02,8.1653550685e-03
-7.6752000000e-01,8.8138886139e-02,7.7684632498e-03
-7.5686000000e-01,8.5969773068e-02,7.3908018814e-03
-7.4620000000e-01,8.3853711981e-02,7.0314450130e-03
-7.3554000000e-01,8.1789429182e-02,6.6895107259e-03
-7.2488000000e-01,7.9775679826e-02,6.3641590917e-03
-7.1422000000e-01,7.7811247394e-02,6.0545902210e-03
-7.0356000000e-01,7.5894943165e-02,5.7600423980e-03
-6.9290000000e-01,7.4025605689e-02,5.4797902977e-03
-6.8224000000e-01,7.2202100266e-02,5.2131432828e-03
-6.7158000000e-01,7.0423318420e-02,4.9594437772e-03
-6.6092000000e-01,6.8688177381e-02,4.7180657119e-03
-6.5026000000e-01,6.6995619572e-02,4.4884130418e-03
